Entrada;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6;Ex7;Ex8;Ex9;Ex10;Ex11;Ex12;Ex13;Ex14;Ex15;Ex16;Ex17;Ex18;Ex19;Ex20
rigged_matrix1.txt;12;12;12;11;12;12;11;12;12;12;12;11;11;12;12;11;12;12;11;10
rigged_matrix2.txt;12;12;11;12;11;11;12;11;11;12;12;11;11;12;12;12;11;11;11;12
rigged_matrix3.txt;11;12;11;11;12;12;11;11;12;12;11;12;12;12;12;11;12;13;12;13
rigged_matrix4.txt;12;12;11;11;11;11;11;10;10;10;10;10;10;11;10;12;11;12;11;11
rigged_matrix5.txt;12;12;11;11;11;11;11;11;11;11;11;15;11;10;11;12;10;10;11;11
rigged_matrix6.txt;10;11;10;11;10;11;10;10;10;10;12;10;11;11;11;11;10;11;11;12
rigged_matrix7.txt;11;11;12;12;11;11;10;11;11;11;11;12;11;11;11;11;11;11;12;11
rigged_matrix8.txt;11;11;12;11;11;10;11;10;10;11;10;11;11;11;11;11;11;10;11;12
rigged_matrix9.txt;11;11;11;12;11;11;11;11;11;11;11;11;11;11;11;10;11;10;11;11
rigged_matrix10.txt;11;11;12;13;10;11;11;11;11;11;10;11;11;11;11;11;11;11;11;12
rigged_matrix11.txt;12;12;11;12;12;11;11;11;13;11;11;11;12;11;11;11;11;11;11;12
rigged_matrix12.txt;11;11;11;11;10;11;11;11;11;11;11;11;11;11;11;11;11;10;11;11
rigged_matrix13.txt;11;12;12;12;11;11;11;11;11;11;12;11;11;12;12;12;11;12;11;11
rigged_matrix14.txt;11;12;12;12;12;11;12;11;11;11;12;12;11;12;11;12;11;11;11;12
rigged_matrix15.txt;11;12;11;12;12;11;12;12;14;13;13;13;13;13;13;12;13;12;12;12
rigged_matrix16.txt;12;13;12;12;12;13;12;13;13;12;12;12;12;13;12;12;12;12;12;12
rigged_matrix17.txt;12;13;13;13;13;13;12;13;13;12;12;12;12;13;13;13;15;15;15;14
rigged_matrix18.txt;13;13;13;12;13;13;13;12;13;12;13;13;13;13;13;14;13;13;13;12
rigged_matrix19.txt;13;14;17;15;15;14;14;14;15;14;13;13;14;13;14;14;14;14;14;14
rigged_matrix20.txt;13;14;16;14;14;15;15;16;15;15;16;15;15;15;19;18;15;14;15;15
rigged_matrix21.txt;14;16;14;17;14;15;15;14;15;14;14;14;15;15;15;14;14;15;16;15
rigged_matrix22.txt;16;16;17;16;17;16;16;16;15;17;16;16;16;17;16;16;16;16;16;16
rigged_matrix23.txt;23;24;24;20;21;19;20;18;22;14;15;15;19;20;19;16;16;16;15;15
rigged_matrix24.txt;22;22;15;17;20;23;15;15;16;16;15;21;17;16;15;15;16;15;15;16
rigged_matrix25.txt;18;16;17;17;17;17;17;17;16;17;17;19;19;16;16;17;17;17;18;15
rigged_matrix26.txt;17;16;17;17;16;17;17;17;17;18;18;18;17;18;18;18;17;17;18;17
rigged_matrix27.txt;18;19;18;18;19;18;18;19;18;19;19;18;18;19;19;20;17;22;17;18
rigged_matrix28.txt;16;18;16;17;19;17;19;18;17;17;19;18;18;18;18;18;18;20;18;19
rigged_matrix29.txt;18;18;18;18;19;18;19;18;19;19;19;19;18;18;18;18;18;18;19;19
rigged_matrix30.txt;19;18;19;19;18;19;18;18;18;18;19;19;19;18;19;18;19;19;20;19
rigged_matrix31.txt;18;18;18;18;19;17;18;18;18;18;17;18;18;17;18;17;18;18;17;17
rigged_matrix32.txt;17;18;19;19;20;17;18;19;18;19;19;19;19;20;19;18;19;18;21;17
rigged_matrix33.txt;18;18;20;18;18;20;19;19;19;22;18;20;19;19;20;20;19;20;19;20
rigged_matrix34.txt;20;20;20;20;20;19;20;20;21;26;18;19;19;18;19;20;26;19;19;19
rigged_matrix35.txt;19;20;20;20;21;20;21;20;25;20;20;21;20;21;20;21;20;21;20;20
rigged_matrix36.txt;20;20;25;22;20;19;19;19;22;19;21;21;19;24;20;21;20;22;23;22
rigged_matrix37.txt;25;21;22;21;21;21;21;20;21;20;21;20;21;21;20;21;20;20;22;21
rigged_matrix38.txt;21;22;22;22;21;21;22;30;20;20;20;20;22;22;22;20;23;21;21;21
rigged_matrix39.txt;22;21;22;22;22;23;21;22;20;21;22;22;24;21;22;22;22;22;21;21
rigged_matrix40.txt;24;33;33;23;22;22;22;22;21;21;21;21;21;22;21;23;22;22;22;22
rigged_matrix41.txt;22;23;25;23;24;22;25;22;23;23;23;24;24;24;23;23;24;23;23;24
rigged_matrix42.txt;24;24;24;24;24;23;23;23;23;23;24;25;23;23;25;24;24;24;25;24
rigged_matrix43.txt;25;26;24;25;25;24;24;23;25;27;25;24;24;25;24;24;24;24;24;24
rigged_matrix44.txt;26;27;26;26;25;26;25;26;26;25;26;26;27;26;26;25;25;26;26;26
rigged_matrix45.txt;27;27;26;26;26;26;27;25;25;26;26;26;26;27;26;26;26;26;27;26
rigged_matrix46.txt;27;27;26;27;28;28;28;27;28;27;28;27;27;27;27;28;28;27;26;26
rigged_matrix47.txt;29;28;29;30;29;29;30;28;30;29;29;29;29;28;28;29;32;29;29;29
rigged_matrix48.txt;30;30;30;31;26;30;31;30;40;31;31;30;31;30;30;27;33;33;32;33
rigged_matrix49.txt;34;32;32;33;32;31;32;27;28;32;32;33;33;32;32;41;32;34;27;29
rigged_matrix50.txt;33;34;34;33;33;34;33;34;34;34;34;35;35;35;33;34;35;33;33;37
